
AR,03/31/20,https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus
gender,cases,deaths
M,209,
F,314,
age,cases,deaths
0-18,17,
19-64,348,
>=65,158,

AZ,04/01/20,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home
age,cases,deaths
5-19,36,
20-44,517,
45-54,262,
55-64,252,
>=65,339,


CA,03/30/20,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx
age,cases,deaths
0-17,73,
18-49,3529,
50-64,1765,
>=65,1531,
gender,cases,deaths
F,3155,
M,3666,



CT,4/01/20,https://portal.ct.gov/-/media/Coronavirus/CTDPHCOVID19summary4012020.pdf?la=en
age,cases,deaths
0-9,29,1
10-19,74,0
20-29,432,0
30-39,560,1
40-49,620,4
50-59,752,4
60-69,550,5
70-79,296,23
>=80,240,47
gender,cases,deaths
F,1836,38
M,1706,47



CO,03/31/20,https://covid19.colorado.gov/case-data
age,cases,deaths
0-9,32,0
10-19,55,0
20-29,420,0
30-39,498,0
40-49,456,2
50-59,535,4
60-69,430,5
70-79,330,22
>=80,199,36
gender,cases,deaths
F,1531,29
M,1422,40

DC,03/31/20,https://coronavirus.dc.gov/page/coronavirus-data
age,cases,deaths
0-18,17,
19-30,124,
31-40,155,
41-50,92,
51-60,86,
61-70,72,
71-80,32,
>=81,8,
gender,cases,deaths,
M,311,
F,272,

DE,03/31/20,https://coronavirus.delaware.gov/
gender,cases,deaths
M,171,
F,197,

FL,03/31/20,https://experience.arcgis.com/experience/96dd742462124fa0b38ddedb9b25e429/
gender,cases,deaths
M,3924,65
F,3411,34
age,cases,deaths
0-9,43,0
10-29,147,0
20-39,987,1
30-49,1189,2
40-59,1266,2
50-69,1402,5
60-79,1138,21
70-89,841,30
80-99,386,25
>=90,84,14


IA,03/31/20,https://idph.iowa.gov/Emerging-Health-Issues/Novel-Coronavirus
gender,cases,deaths
M,262,
F,287,
age,cases,deaths
0-17,7,
18-40,147,
41-60,195,
61-80,167,
>=81,33,

ID,03/31/20,https://coronavirus.idaho.gov/
age,cases,deaths
0-17,4,
18-49,255,
>=50,265,
gender,cases,deaths
F,278,
M,247,

IN,03/31/20,https://coronavirus.in.gov/
age,cases,deaths
0-19,201,0
20-29,1524,0
30-39,2056,1
40-49,2372,0
50-59,2516,13
60-69,1754,20
>=80,1136,23
gender,cases,deaths
M,6871,25
F,7504,40

KS,03/30/20,https://khap2.kdhe.state.ks.us/NewsRelease/COVID19/COVID-19_March_30.pdf
gender,cases,deaths
F,187,
M,181,

MA,04/01/20,https://www.mass.gov/doc/covid-19-cases-in-massachusetts-as-of-april-1-2020/download
age,cases,deaths
0-19,155,0
20-29,1236,0
30-39,1347,1
40-49,1295,0
50-59,1513,5
60-69,1093,12
>=70,1095,93
age,cases,deaths
M,3733,58
F,3959,53

MD,04/01/20,https://coronavirus.maryland.gov/
age,cases,deaths
0-9,6,
10-19,39,
20-29,252,
30-39,345,
40-49,372,
50-59,396,
60-69,309,
70-79,187,
>=80,79,
gender,cases,deaths
F,1016,
M,969,

ME,04/01/20,https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml
gender,cases,deaths
M,173,
F,171,
age,cases,deaths
0-19,6,
20-29,35,
30-39,28,
